@relation 'similarity values'

@attribute EXPERT {0.0,1.0}
@attribute FullDescriptionMatcher numeric
@attribute GeneralBagForAnnotationLabel[Levenshtein] numeric
@attribute GeneralBagForAnnotationLabel[QGramsDistance] numeric
@attribute GeneralBagForAnnotationLabel[SmithWaterman] numeric
@attribute GeneralBagForAnnotationLabel[Stoilos_JW] numeric
@attribute SoftJaccardLinStoilois numeric

@data
0.0,0,0.25,0.105263,0.285714,-0.9,0
1.0,1,1,1,1,1,1
0.0,0.228543,0.125,0.105263,0.285714,-0.9,0
0.0,0.232262,0,0,0,-1,0
0.0,0.408035,0,0,0.142857,-1,0
0.0,0.025238,0.2,0,0.25,-1,0
0.0,0.275592,0.125,0,0.214286,-1,0
0.0,0.252656,0.2,0,0.125,-1,0
0.0,0.101695,0.25,0,0.25,-1,0
0.0,0.199886,0.117647,0,0.25,-1,0
0.0,0.356676,0,0,0.166667,-1,0
0.0,0.385015,0.25,0,0.1875,-1,0
0.0,0.355893,0.153846,0,0.125,-1,0
0.0,0.288301,0.125,0,0.125,-1,0
0.0,0.087506,0.090909,0,0.125,-1,0
0.0,0.072875,0.176471,0,0.142857,-1,0
0.0,0.37209,0.166667,0,0.125,-1,0
0.0,0.867982,0.333333,0,0.125,-1,0
0.0,0.313381,0.125,0,0.166667,-1,0
0.0,0.37508,0.25,0,0.625,-1,0
0.0,0.253834,0,0,0.125,-1,0
0.0,0.338729,0.153846,0,0.25,-1,0
0.0,0.001215,0.111111,0,0.125,-1,0
0.0,0.022662,0.1,0,0.125,-1,0
0.0,0.232836,0.125,0,0.25,-1,0
0.0,0.853085,0.222222,0,0.125,-1,0
0.0,0.233931,0.125,0,0.25,-1,0
0.0,0.032706,0,0,0.125,-1,0.663283
0.0,0.458334,0.111111,0,0.125,-1,0
0.0,0.182925,0,0,0.166667,-1,0
0.0,0.090137,0.125,0,0.166667,-1,0
0.0,0.229771,0.2,0,0.25,-1,0
0.0,0.370091,0.090909,0,0.125,-1,0
1.0,1,1,1,1,1,1
0.0,0,0.25,0.105263,0.285714,-0.9,0
